Disease,Disease ID,Disease Acronym
"2,4-dienoyl-CoA reductase deficiency",DI-04240,DECRD
2-aminoadipic 2-oxoadipic aciduria,DI-03673,AMOXAD
3-alpha-hydroxyacyl-CoA dehydrogenase deficiency,DI-00002,HADH deficiency
3-hydroxy-3-methylglutaryl-CoA lyase deficiency,DI-00003,HMGCLD
3-hydroxy-3-methylglutaryl-CoA synthase-2 deficiency,DI-01751,HMGCS2D
3-hydroxyisobutryl-CoA hydrolase deficiency,DI-01740,HIBCHD
3-ketothiolase deficiency,DI-00009,3KTD
3-methylcrotonoyl-CoA carboxylase 1 deficiency,DI-00742,MCC1D
3-methylcrotonoyl-CoA carboxylase 2 deficiency,DI-00743,MCC2D
3-methylglutaconic aciduria 1,DI-00004,MGCA1
3-methylglutaconic aciduria 3,DI-00006,MGCA3
3-methylglutaconic aciduria 5,DI-00007,MGCA5
3-methylglutaconic aciduria 7,DI-04365,MGCA7
3-methylglutaconic aciduria 8,DI-04904,MGCA8
3-methylglutaconic aciduria 9,DI-05109,MGCA9
"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",DI-03495,MEGDEL
3M syndrome 1,DI-00011,3M1
3M syndrome 2,DI-02472,3M2
3M syndrome 3,DI-03220,3M3
3MC syndrome 1,DI-03129,3MC1
3MC syndrome 2,DI-03130,3MC2
3MC syndrome 3,DI-04982,3MC3
"46,XX sex reversal 1",DI-02395,SRXX1
"46,XX sex reversal 2",DI-03053,SRXX2
"46,XX sex reversal 3",DI-03008,SRXX3
"46,XX sex reversal 4",DI-05002,SRXX4
"46,XX sex reversal 5",DI-05853,SRXX5
"46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs",DI-01613,SERKAL
"46,XY sex reversal 1",DI-01682,SRXY1
"46,XY sex reversal 10",DI-04458,SRXY10
"46,XY sex reversal 11",DI-05803,SRXY11
"46,XY sex reversal 2",DI-02751,SRXY2
"46,XY sex reversal 3",DI-02465,SRXY3
"46,XY sex reversal 4",DI-03328,SRXY4
"46,XY sex reversal 5",DI-02807,SRXY5
"46,XY sex reversal 6",DI-03052,SRXY6
"46,XY sex reversal 7",DI-01379,SRXY7
"46,XY sex reversal 8",DI-03279,SRXY8
"46,XY sex reversal 9",DI-04251,SRXY9
5-oxoprolinase deficiency,DI-03412,OPLAHD
Aaland island eye disease,DI-01163,AIED
Aarskog-Scott syndrome,DI-00012,AAS
ABCD syndrome,DI-00013,ABCDS
Abdominal obesity-metabolic syndrome 3,DI-04090,AOMS3
Abdominal obesity-metabolic syndrome 4,DI-05676,AOMS4
Abetalipoproteinemia,DI-00014,ABL
Ablepharon-macrostomia syndrome,DI-04542,AMS
"Abnormal hair, joint laxity, and developmental delay",DI-05602,HJDD
Abruzzo-Erickson syndrome,DI-03763,ABERS
Acatalasemia,DI-00016,ACATLAS
Aceruloplasminemia,DI-00017,ACERULOP
Acetyl-CoA carboxylase 1 deficiency,DI-01164,ACACAD
Achalasia-addisonianism-alacrima syndrome,DI-00018,AAAS
Acheiropody,DI-01165,ACHP
Achondrogenesis 1A,DI-02719,ACG1A
Achondrogenesis 1B,DI-00019,ACG1B
Achondrogenesis 2,DI-00020,ACG2
Achondroplasia,DI-00021,ACH
"Achondroplasia, severe, with developmental delay and acanthosis nigricans",DI-04490,SADDAN
Achromatopsia 2,DI-00022,ACHM2
Achromatopsia 3,DI-00023,ACHM3
Achromatopsia 4,DI-01166,ACHM4
Achromatopsia 5,DI-05080,ACHM5
Achromatopsia 7,DI-04499,ACHM7
Acid-labile subunit deficiency,DI-04198,ACLSD
"Acne inversa, familial, 1",DI-02995,ACNINV1
"Acne inversa, familial, 2, with or without Dowling-Degos disease",DI-02996,ACNINV2
"Acne inversa, familial, 3",DI-02997,ACNINV3
Acro-dermato-ungual-lacrimal-tooth syndrome,DI-00028,ADULT syndrome
Acrocallosal syndrome,DI-00025,ACLS
Acrocapitofemoral dysplasia,DI-00026,ACFD
"Acrodermatitis enteropathica, zinc-deficiency type",DI-00027,AEZ
"Acrodysostosis 1, with or without hormone resistance",DI-03459,ACRDYS1
"Acrodysostosis 2, with or without hormone resistance",DI-03460,ACRDYS2
"Acrofacial dysostosis 1, Nager type",DI-03474,AFD1
"Acrofacial dysostosis, Cincinnati type",DI-04483,AFDCIN
"Acrofacial dysostosis, Weyers type",DI-00029,WAD
Acrokeratosis verruciformis,DI-00030,AKV
Acromelic frontonasal dysostosis,DI-04203,AFND
"Acromesomelic chondrodysplasia, Grebe type",DI-00031,AMDG
"Acromesomelic chondrodysplasia, Hunter-Thompson type",DI-00032,AMDH
"Acromesomelic dysplasia, Demirhan type",DI-00033,AMDD
"Acromesomelic dysplasia, Maroteaux type",DI-00034,AMDM
Acromicric dysplasia,DI-03225,ACMICD
"ACTH deficiency, isolated",DI-00035,IAD
ACTH-independent macronodular adrenal hyperplasia 1,DI-01167,AIMAH1
ACTH-independent macronodular adrenal hyperplasia 2,DI-04195,AIMAH2
Activated PI3K-delta syndrome,DI-03995,APDS
Acute hepatic porphyria,DI-00036,AHEPP
Acute intermittent porphyria,DI-00037,AIP
Acyl-CoA dehydrogenase medium-chain deficiency,DI-01956,ACADMD
Acyl-CoA dehydrogenase short-chain deficiency,DI-02301,ACADSD
Acyl-CoA dehydrogenase very long-chain deficiency,DI-02411,ACADVLD
Adams-Oliver syndrome 1,DI-03194,AOS1
Adams-Oliver syndrome 2,DI-03223,AOS2
Adams-Oliver syndrome 3,DI-03522,AOS3
Adams-Oliver syndrome 4,DI-03817,AOS4
Adams-Oliver syndrome 5,DI-04227,AOS5
Adams-Oliver syndrome 6,DI-04559,AOS6
Adenine phosphoribosyltransferase deficiency,DI-01188,APRTD
Adenosine monophosphate deaminase deficiency erythrocyte type,DI-00038,AMPDDE
Adenylosuccinase deficiency,DI-00040,ADSLD
Adermatoglyphia,DI-03267,ADERM
Adie pupil,DI-01174,ADIEP
Adiponectin deficiency,DI-00041,ADPND
Adrenal hyperplasia 1,DI-01407,AH1
Adrenal hyperplasia 2,DI-00042,AH2
Adrenal hyperplasia 3,DI-00043,AH3
Adrenal hyperplasia 4,DI-00044,AH4
Adrenal hyperplasia 5,DI-00045,AH5
"Adrenal hypoplasia, congenital",DI-02426,AHC
"Adrenal insufficiency, congenital, with 46,XY sex reversal",DI-03022,AICSR
"Adrenal insufficiency, NR5A1-related",DI-05003,AINR
Adrenocortical carcinoma,DI-02740,ADCC
Adrenoleukodystrophy,DI-00050,ALD
"Adrenoleukodystrophy, pseudoneonatal",DI-00049,Pseudo-NALD
"Advanced sleep phase syndrome, familial, 1",DI-01548,FASPS1
"Advanced sleep phase syndrome, familial, 2",DI-03718,FASPS2
"Advanced sleep phase syndrome, familial, 3",DI-04696,FASPS3
"Agammaglobulinemia 1, autosomal recessive",DI-01249,AGM1
"Agammaglobulinemia 2, autosomal recessive",DI-02888,AGM2
"Agammaglobulinemia 3, autosomal recessive",DI-02873,AGM3
"Agammaglobulinemia 4, autosomal recessive",DI-02874,AGM4
"Agammaglobulinemia 5, autosomal dominant",DI-02875,AGM5
"Agammaglobulinemia 6, autosomal recessive",DI-02889,AGM6
"Agammaglobulinemia 7, autosomal recessive",DI-03723,AGM7
"Agammaglobulinemia 8, autosomal dominant",DI-04717,AGM8
"Agenesis of corpus callosum, cardiac, ocular, and genital syndrome",DI-05864,ACOGS
"Agenesis of the corpus callosum, with abnormal genitalia",DI-01175,ACCAG
"Agenesis of the corpus callosum, with facial anomalies and cerebellar ataxia",DI-04654,CCAFCA
"Agenesis of the corpus callosum, with peripheral neuropathy",DI-00054,ACCPN
"Agenesis of the corpus callosum, X-linked, partial",DI-02143,ACCPX
Agnathia-otocephaly complex,DI-03217,AGOTC
AICAR transformylase/IMP cyclohydrolase deficiency,DI-00065,AICAR
Aicardi-Goutieres syndrome 1,DI-00066,AGS1
Aicardi-Goutieres syndrome 2,DI-00067,AGS2
Aicardi-Goutieres syndrome 3,DI-00068,AGS3
Aicardi-Goutieres syndrome 4,DI-00069,AGS4
Aicardi-Goutieres syndrome 5,DI-02499,AGS5
Aicardi-Goutieres syndrome 6,DI-03668,AGS6
Aicardi-Goutieres syndrome 7,DI-04126,AGS7
Al Kaissi syndrome,DI-05093,ALKAS
Al-Gazali syndrome,DI-05819,ALGAZ
Al-Gazali-Bakalinova syndrome,DI-04658,AGBK
Al-Raqad syndrome,DI-04480,ARS
"Alacrima, achalasia, and mental retardation syndrome",DI-03937,AAMR
Alagille syndrome 1,DI-00071,ALGS1
Alagille syndrome 2,DI-00072,ALGS2
Alazami syndrome,DI-03653,ALAZS
Alazami-Yuan syndrome,DI-04825,ALYUS
Albinism ocular 1,DI-02082,OA1
"Albinism, oculocutaneous, 1A",DI-02088,OCA1A
"Albinism, oculocutaneous, 1B",DI-02089,OCA1B
"Albinism, oculocutaneous, 2",DI-02085,OCA2
"Albinism, oculocutaneous, 3",DI-02090,OCA3
"Albinism, oculocutaneous, 4",DI-02086,OCA4
"Albinism, oculocutaneous, 6",DI-03840,OCA6
"Albinism, oculocutaneous, 7",DI-03749,OCA7
Albright hereditary osteodystrophy,DI-00073,AHO
Alexander disease,DI-00074,ALXDRD
Alkaptonuria,DI-00077,AKU
Alkuraya-Kucinskas syndrome,DI-05169,ALKKUCS
Allergic rhinitis,DI-02868,ALRH
Alopecia universalis congenita,DI-00078,ALUNC
"Alopecia, neurologic defects, and endocrinopathy syndrome",DI-01178,ANES
Alopecia-mental retardation syndrome 1,DI-05180,APMR1
Alopecia-mental retardation syndrome 4,DI-05812,APMR4
Alpha-1-antitrypsin deficiency,DI-02928,A1ATD
Alpha-2-plasmin inhibitor deficiency,DI-00075,APLID
Alpha-fetoprotein deficiency,DI-04204,AFPD
"Alpha-fetoprotein, hereditary persistence",DI-04205,HPAFP
Alpha-methylacyl-CoA racemase deficiency,DI-00076,AMACRD
Alpha-thalassemia,DI-01181,A-THAL
"Alpha-thalassemia mental retardation syndrome, X-linked",DI-02428,ATRX
Alpha-thalassemia myelodysplasia syndrome,DI-01180,ATMDS
"Alpha/beta T-cell lymphopenia, with gamma/delta T-cell expansion, severe cytomegalovirus infection and autoimmunity",DI-01182,T-CMVA
"Alport syndrome 1, X-linked",DI-00082,ATS1
"Alport syndrome 2, autosomal recessive",DI-00080,ATS2
"Alport syndrome 3, autosomal dominant",DI-02831,ATS3
"Alport syndrome with mental retardation, midface hypoplasia and elliptocytosis",DI-01183,ATS-MR
Alstrom syndrome,DI-00083,ALMS
Alternating hemiplegia of childhood 1,DI-00084,AHC1
Alternating hemiplegia of childhood 2,DI-03527,AHC2
Alveolar capillary dysplasia with misalignment of pulmonary veins,DI-02714,ACDMPV
Alzheimer disease,DI-03832,AD
Alzheimer disease 1,DI-00085,AD1
Alzheimer disease 18,DI-04003,AD18
Alzheimer disease 19,DI-04047,AD19
Alzheimer disease 2,DI-02694,AD2
Alzheimer disease 3,DI-00086,AD3
Alzheimer disease 4,DI-00087,AD4
Alzheimer disease 9,DI-04711,AD9
Alzheimer disease mitochondrial,DI-02761,AD-MT
"Amelia, posterior, with pelvic and pulmonary hypoplasia syndrome",DI-05747,PAPPAS
Amelogenesis imperfecta 1A,DI-04344,AI1A
Amelogenesis imperfecta 1B,DI-00089,AI1B
Amelogenesis imperfecta 1C,DI-00090,AI1C
Amelogenesis imperfecta 1E,DI-00088,AI1E
Amelogenesis imperfecta 1F,DI-04358,AI1F
Amelogenesis imperfecta 1G,DI-04208,AI1G
Amelogenesis imperfecta 1H,DI-04338,AI1H
Amelogenesis imperfecta 1J,DI-04931,AI1J
Amelogenesis imperfecta 3A,DI-00093,AI3A
Amelogenesis imperfecta 3B,DI-05066,AI3B
Amelogenesis imperfecta 3C,DI-05533,AI3C
Amelogenesis imperfecta 4,DI-00094,AI4
"Amelogenesis imperfecta, hypomaturation type, 2A1",DI-00091,AI2A1
"Amelogenesis imperfecta, hypomaturation type, 2A2",DI-00092,AI2A2
"Amelogenesis imperfecta, hypomaturation type, 2A3",DI-02570,AI2A3
"Amelogenesis imperfecta, hypomaturation type, 2A4",DI-03537,AI2A4
"Amelogenesis imperfecta, hypomaturation type, 2A5",DI-04153,AI2A5
"Amelogenesis imperfecta, hypomaturation type, 2A6",DI-04871,AI2A6
Aminoacylase-1 deficiency,DI-00095,ACY1D
Amyloidosis 5,DI-00101,AMYL5
Amyloidosis 6,DI-00102,AMYL6
Amyloidosis 8,DI-00104,AMYL8
"Amyloidosis, primary localized cutaneous, 1",DI-00105,PLCA1
"Amyloidosis, primary localized cutaneous, 2",DI-03102,PLCA2
"Amyloidosis, primary localized cutaneous, 3",DI-05216,PLCA3
"Amyloidosis, transthyretin-related",DI-00100,AMYL-TTR
Amyotrophic lateral sclerosis,DI-00107,ALS
Amyotrophic lateral sclerosis 1,DI-00108,ALS1
Amyotrophic lateral sclerosis 10,DI-00114,ALS10
Amyotrophic lateral sclerosis 11,DI-00115,ALS11
Amyotrophic lateral sclerosis 12,DI-02705,ALS12
Amyotrophic lateral sclerosis 13,DI-02859,ALS13
"Amyotrophic lateral sclerosis 14, with or without frontotemporal dementia",DI-03119,ALS14
